dataset,top_n,gene_mode,gene_id,fold,modality,f1
CDRP-bio,5,random,rand4,4,CP,0.13095238095238093
CDRP-bio,5,random,rand4,4,GE,0.0
CDRP-bio,5,random,rand4,4,Early Fusion,0.09722222222222221
CDRP-bio,5,random,rand4,4,Late Fusion,0.11538461538461539
CDRP-bio,5,random,rand5,4,CP,0.13095238095238093
CDRP-bio,5,random,rand5,4,GE,0.023809523809523808
CDRP-bio,5,random,rand5,4,Early Fusion,0.09722222222222221
CDRP-bio,5,random,rand5,4,Late Fusion,0.1357142857142857
CDRP-bio,5,ranked,r0,5,CP,0.21999999999999995
CDRP-bio,5,ranked,r0,5,GE,0.17708333333333331
CDRP-bio,5,ranked,r0,5,Early Fusion,0.1844444444444444
CDRP-bio,5,ranked,r0,5,Late Fusion,0.20888888888888885
CDRP-bio,5,random,rand1,5,CP,0.21999999999999995
CDRP-bio,5,random,rand1,5,GE,0.07708333333333334
CDRP-bio,5,random,rand1,5,Early Fusion,0.1844444444444444
CDRP-bio,5,random,rand1,5,Late Fusion,0.246031746031746
CDRP-bio,5,random,rand2,5,CP,0.21999999999999995
CDRP-bio,5,random,rand2,5,GE,0.05
CDRP-bio,5,random,rand2,5,Early Fusion,0.19166666666666662
CDRP-bio,5,random,rand2,5,Late Fusion,0.18333333333333332
CDRP-bio,5,random,rand3,5,CP,0.21999999999999995
CDRP-bio,5,random,rand3,5,GE,0.10784313725490194
CDRP-bio,5,random,rand3,5,Early Fusion,0.1844444444444444
CDRP-bio,5,random,rand3,5,Late Fusion,0.20392156862745095
CDRP-bio,5,random,rand4,5,CP,0.21999999999999995
CDRP-bio,5,random,rand4,5,GE,0.047619047619047616
CDRP-bio,5,random,rand4,5,Early Fusion,0.1844444444444444
CDRP-bio,5,random,rand4,5,Late Fusion,0.22777777777777775
CDRP-bio,5,random,rand5,5,CP,0.21999999999999995
CDRP-bio,5,random,rand5,5,GE,0.04444444444444444
CDRP-bio,5,random,rand5,5,Early Fusion,0.1844444444444444
CDRP-bio,5,random,rand5,5,Late Fusion,0.1901960784313725
CDRP-bio,5,ranked,r0,6,CP,0.10476190476190476
CDRP-bio,5,ranked,r0,6,GE,0.11904761904761904
CDRP-bio,5,ranked,r0,6,Early Fusion,0.1
CDRP-bio,5,ranked,r0,6,Late Fusion,0.11904761904761904
CDRP-bio,5,random,rand1,6,CP,0.10476190476190476
CDRP-bio,5,random,rand1,6,GE,0.08333333333333333
CDRP-bio,5,random,rand1,6,Early Fusion,0.1
CDRP-bio,5,random,rand1,6,Late Fusion,0.10476190476190476
CDRP-bio,5,random,rand2,6,CP,0.10476190476190476
CDRP-bio,5,random,rand2,6,GE,0.16666666666666666
CDRP-bio,5,random,rand2,6,Early Fusion,0.1
CDRP-bio,5,random,rand2,6,Late Fusion,0.09777777777777778
CDRP-bio,5,random,rand3,6,CP,0.10476190476190476
CDRP-bio,5,random,rand3,6,GE,0.0
CDRP-bio,5,random,rand3,6,Early Fusion,0.1
CDRP-bio,5,random,rand3,6,Late Fusion,0.09285714285714286
CDRP-bio,5,random,rand4,6,CP,0.10476190476190476
CDRP-bio,5,random,rand4,6,GE,0.17777777777777778
CDRP-bio,5,random,rand4,6,Early Fusion,0.09285714285714286
CDRP-bio,5,random,rand4,6,Late Fusion,0.09777777777777778
CDRP-bio,5,random,rand5,6,CP,0.10476190476190476
CDRP-bio,5,random,rand5,6,GE,0.0
CDRP-bio,5,random,rand5,6,Early Fusion,0.1
CDRP-bio,5,random,rand5,6,Late Fusion,0.09777777777777778
CDRP-bio,5,ranked,r0,7,CP,0.19047619047619047
CDRP-bio,5,ranked,r0,7,GE,0.08928571428571429
CDRP-bio,5,ranked,r0,7,Early Fusion,0.21428571428571425
CDRP-bio,5,ranked,r0,7,Late Fusion,0.19047619047619047
CDRP-bio,5,random,rand1,7,CP,0.19047619047619047
CDRP-bio,5,random,rand1,7,GE,0.07692307692307693
CDRP-bio,5,random,rand1,7,Early Fusion,0.21428571428571425
CDRP-bio,5,random,rand1,7,Late Fusion,0.19047619047619047
CDRP-bio,5,random,rand2,7,CP,0.19047619047619047
CDRP-bio,5,random,rand2,7,GE,0.02222222222222222
CDRP-bio,5,random,rand2,7,Early Fusion,0.21428571428571425
CDRP-bio,5,random,rand2,7,Late Fusion,0.19047619047619047
CDRP-bio,5,random,rand3,7,CP,0.19047619047619047
CDRP-bio,5,random,rand3,7,GE,0.0625
CDRP-bio,5,random,rand3,7,Early Fusion,0.21428571428571425
CDRP-bio,5,random,rand3,7,Late Fusion,0.17142857142857143
CDRP-bio,5,random,rand4,7,CP,0.19047619047619047
CDRP-bio,5,random,rand4,7,GE,0.01111111111111111
CDRP-bio,5,random,rand4,7,Early Fusion,0.19047619047619047
CDRP-bio,5,random,rand4,7,Late Fusion,0.17142857142857143
CDRP-bio,5,random,rand5,7,CP,0.19047619047619047
CDRP-bio,5,random,rand5,7,GE,0.0
CDRP-bio,5,random,rand5,7,Early Fusion,0.21428571428571425
CDRP-bio,5,random,rand5,7,Late Fusion,0.1711111111111111
CDRP-bio,5,ranked,r0,8,CP,0.2358974358974359
CDRP-bio,5,ranked,r0,8,GE,0.11190476190476188
CDRP-bio,5,ranked,r0,8,Early Fusion,0.20833333333333331
CDRP-bio,5,ranked,r0,8,Late Fusion,0.20512820512820512
CDRP-bio,5,random,rand1,8,CP,0.2358974358974359
CDRP-bio,5,random,rand1,8,GE,0.047619047619047616
CDRP-bio,5,random,rand1,8,Early Fusion,0.20833333333333331
CDRP-bio,5,random,rand1,8,Late Fusion,0.2292517006802721
CDRP-bio,5,random,rand2,8,CP,0.2358974358974359
CDRP-bio,5,random,rand2,8,GE,0.0
CDRP-bio,5,random,rand2,8,Early Fusion,0.20833333333333331
CDRP-bio,5,random,rand2,8,Late Fusion,0.24688644688644687
CDRP-bio,5,random,rand3,8,CP,0.2358974358974359
CDRP-bio,5,random,rand3,8,GE,0.05128205128205128
CDRP-bio,5,random,rand3,8,Early Fusion,0.20833333333333331
CDRP-bio,5,random,rand3,8,Late Fusion,0.23076923076923078
CDRP-bio,5,random,rand4,8,CP,0.2358974358974359
CDRP-bio,5,random,rand4,8,GE,0.04888888888888889
CDRP-bio,5,random,rand4,8,Early Fusion,0.20833333333333331
CDRP-bio,5,random,rand4,8,Late Fusion,0.20512820512820512
CDRP-bio,5,random,rand5,8,CP,0.2358974358974359
CDRP-bio,5,random,rand5,8,GE,0.06111111111111111
CDRP-bio,5,random,rand5,8,Early Fusion,0.19999999999999998
CDRP-bio,5,random,rand5,8,Late Fusion,0.21904761904761902
CDRP-bio,5,ranked,r0,9,CP,0.13675213675213674
CDRP-bio,5,ranked,r0,9,GE,0.11904761904761904
CDRP-bio,5,ranked,r0,9,Early Fusion,0.14600550964187328
CDRP-bio,5,ranked,r0,9,Late Fusion,0.13675213675213674
CDRP-bio,5,random,rand1,9,CP,0.13675213675213674
CDRP-bio,5,random,rand1,9,GE,0.07692307692307693
CDRP-bio,5,random,rand1,9,Early Fusion,0.11721611721611722
CDRP-bio,5,random,rand1,9,Late Fusion,0.13675213675213674
CDRP-bio,5,random,rand2,9,CP,0.13675213675213674
CDRP-bio,5,random,rand2,9,GE,0.03333333333333333
CDRP-bio,5,random,rand2,9,Early Fusion,0.06593406593406594
CDRP-bio,5,random,rand2,9,Late Fusion,0.12698412698412698
CDRP-bio,5,random,rand3,9,CP,0.13675213675213674
CDRP-bio,5,random,rand3,9,GE,0.08333333333333333
CDRP-bio,5,random,rand3,9,Early Fusion,0.11721611721611722
CDRP-bio,5,random,rand3,9,Late Fusion,0.13675213675213674
CDRP-bio,5,random,rand4,9,CP,0.13675213675213674
