dataset,top_n,gene_mode,gene_id,fold,modality,f1
LINCS,5,random,rand5,4,Late Fusion,0.16899627376544352
LINCS,5,ranked,r0,5,CP,0.268721001097659
LINCS,5,ranked,r0,5,GE,0.1548984122363818
LINCS,5,ranked,r0,5,Early Fusion,0.2833659574350149
LINCS,5,ranked,r0,5,Late Fusion,0.2811667786935818
LINCS,5,random,rand1,5,CP,0.268721001097659
LINCS,5,random,rand1,5,GE,0.02083320163766201
LINCS,5,random,rand1,5,Early Fusion,0.2726752071193649
LINCS,5,random,rand1,5,Late Fusion,0.275397729605833
LINCS,5,random,rand2,5,CP,0.268721001097659
LINCS,5,random,rand2,5,GE,0.06472667572885438
LINCS,5,random,rand2,5,Early Fusion,0.27626339734182864
LINCS,5,random,rand2,5,Late Fusion,0.2753820192325172
LINCS,5,random,rand3,5,CP,0.268721001097659
LINCS,5,random,rand3,5,GE,0.04444488677449814
LINCS,5,random,rand3,5,Early Fusion,0.2738833457787706
LINCS,5,random,rand3,5,Late Fusion,0.2707553750688014
LINCS,5,random,rand4,5,CP,0.268721001097659
LINCS,5,random,rand4,5,GE,0.05851878047580159
LINCS,5,random,rand4,5,Early Fusion,0.2783372310374536
LINCS,5,random,rand4,5,Late Fusion,0.27712731529652074
LINCS,5,random,rand5,5,CP,0.268721001097659
LINCS,5,random,rand5,5,GE,0.09252319802373252
LINCS,5,random,rand5,5,Early Fusion,0.2713511426352557
LINCS,5,random,rand5,5,Late Fusion,0.27582492256586766
LINCS,10,ranked,r0,1,CP,0.1469266921444308
LINCS,10,ranked,r0,1,GE,0.09429816379707309
LINCS,10,ranked,r0,1,Early Fusion,0.15871191077069668
LINCS,10,ranked,r0,1,Late Fusion,0.1536769717371105
LINCS,10,random,rand1,1,CP,0.1469266921444308
LINCS,10,random,rand1,1,GE,0.08436479085792588
LINCS,10,random,rand1,1,Early Fusion,0.1503804979347569
LINCS,10,random,rand1,1,Late Fusion,0.13829178556442617
LINCS,10,random,rand2,1,CP,0.1469266921444308
LINCS,10,random,rand2,1,GE,0.07295148782014045
LINCS,10,random,rand2,1,Early Fusion,0.16080796003351683
LINCS,10,random,rand2,1,Late Fusion,0.1580248796499134
LINCS,10,random,rand3,1,CP,0.1469266921444308
LINCS,10,random,rand3,1,GE,0.03830028042921596
LINCS,10,random,rand3,1,Early Fusion,0.1519864979062358
LINCS,10,random,rand3,1,Late Fusion,0.14273301838657546
LINCS,10,random,rand4,1,CP,0.1469266921444308
LINCS,10,random,rand4,1,GE,0.06336263804279862
LINCS,10,random,rand4,1,Early Fusion,0.15041550337570048
LINCS,10,random,rand4,1,Late Fusion,0.14616246245244235
LINCS,10,random,rand5,1,CP,0.1469266921444308
LINCS,10,random,rand5,1,GE,0.07901185082707766
LINCS,10,random,rand5,1,Early Fusion,0.15404943295380635
LINCS,10,random,rand5,1,Late Fusion,0.14318781977282447
LINCS,10,ranked,r0,2,CP,0.14499424699491112
LINCS,10,ranked,r0,2,GE,0.12472947166224019
LINCS,10,ranked,r0,2,Early Fusion,0.15374214844726436
LINCS,10,ranked,r0,2,Late Fusion,0.15866556151466815
LINCS,10,random,rand1,2,CP,0.14499424699491112
LINCS,10,random,rand1,2,GE,0.06149357622063698
LINCS,10,random,rand1,2,Early Fusion,0.13930393767933197
LINCS,10,random,rand1,2,Late Fusion,0.15082954911822227
LINCS,10,random,rand2,2,CP,0.14499424699491112
LINCS,10,random,rand2,2,GE,0.0509124759356296
LINCS,10,random,rand2,2,Early Fusion,0.13649932776857993
LINCS,10,random,rand2,2,Late Fusion,0.15185844806836568
LINCS,10,random,rand3,2,CP,0.14499424699491112
LINCS,10,random,rand3,2,GE,0.04811473228518234
LINCS,10,random,rand3,2,Early Fusion,0.13645088408495348
LINCS,10,random,rand3,2,Late Fusion,0.14438041619678676
LINCS,10,random,rand4,2,CP,0.14499424699491112
LINCS,10,random,rand4,2,GE,0.03625838110421401
LINCS,10,random,rand4,2,Early Fusion,0.12934079955341218
LINCS,10,random,rand4,2,Late Fusion,0.15097733960231638
LINCS,10,random,rand5,2,CP,0.14499424699491112
LINCS,10,random,rand5,2,GE,0.05483726910912031
LINCS,10,random,rand5,2,Early Fusion,0.13170700888722664
LINCS,10,random,rand5,2,Late Fusion,0.1318838501598068
LINCS,10,ranked,r0,3,CP,0.2807634721556302
LINCS,10,ranked,r0,3,GE,0.22346924979036925
LINCS,10,ranked,r0,3,Early Fusion,0.2973473900897837
LINCS,10,ranked,r0,3,Late Fusion,0.2966659741928223
LINCS,10,random,rand1,3,CP,0.2807634721556302
LINCS,10,random,rand1,3,GE,0.1432772646540802
