dataset,top_n,gene_mode,modality,f1_mean,f1_std
LINCS,50,ranked,CP,0.20187135147945803,0.06726315819618235
LINCS,50,ranked,Early Fusion,0.22737421525370669,0.07972139035245505
LINCS,50,ranked,GE,0.20608748169271526,0.07395479511718925
LINCS,50,ranked,Late Fusion,0.2229465492311628,0.07889075668377313
LINCS,75,random,CP,0.20187135147945806,0.061402581721812614
LINCS,75,random,Early Fusion,0.21948597864235125,0.06221598134199484
LINCS,75,random,GE,0.16239309785585934,0.05286711877229213
LINCS,75,random,Late Fusion,0.21858500876184409,0.06790445064772103
LINCS,75,ranked,CP,0.20187135147945803,0.06726315819618235
LINCS,75,ranked,Early Fusion,0.23462839198268187,0.07437421549975337
LINCS,75,ranked,GE,0.20752612630126435,0.06854058844211909
LINCS,75,ranked,Late Fusion,0.2297210785829175,0.07809073622400316
LINCS,978,random,CP,0.20187135147945806,0.061402581721812614
LINCS,978,random,Early Fusion,0.2153650490031757,0.056539525652006
LINCS,978,random,GE,0.20576329720787995,0.05440588915864028
LINCS,978,random,Late Fusion,0.23324778835126803,0.07021566535525846
LINCS,978,ranked,CP,0.20187135147945803,0.06726315819618235
LINCS,978,ranked,Early Fusion,0.2134221749954547,0.05740357480902618
LINCS,978,ranked,GE,0.2089183645746598,0.05819150262604478
LINCS,978,ranked,Late Fusion,0.23126694863911004,0.07557728760996775
