Plate,Well,Name,Concentration,isHit,Prediction_1,Neighbor_1,Distance_1,Confidence_1,Prediction_2,Neighbor_2,Distance_2,Confidence_2,Prediction_3,Neighbor_3,Distance_3,Confidence_3,Prediction_4,Neighbor_4,Distance_4,Confidence_4,Prediction_5,Neighbor_5,Distance_5,Confidence_5,Prediction_6,Neighbor_6,Distance_6,Confidence_6,Prediction_7,Neighbor_7,Distance_7,Confidence_7,Prediction_8,Neighbor_8,Distance_8,Confidence_8,Prediction_9,Neighbor_9,Distance_9,Confidence_9,Prediction_10,Neighbor_10,Distance_10,Confidence_10,Prediction_11,Neighbor_11,Distance_11,Confidence_11,Prediction_12,Neighbor_12,Distance_12,Confidence_12
2013002118,I-11,25678,1,0,DMSO,DMSO,0.150193210843061,0.999724500898338,DNA,CPT_4,2.26863007596737,0.000604246140890928,Proteasome,AclacinomycinA_4,2.52538344007254,0.00020245699154496,mTOR,Torin1_2,2.53124380651494,0.000197591310218986,Actin,LatA_2,3.03390306686956,2.79682070167646e-05,ER,Tunicamycin_2,3.06187680035945,2.53427896343953e-05,AuroraB,ZM447439_2,3.08931819532375,2.30365843981107e-05,HDAC,Apicidin_3,3.36104691722864,9.44261255832435e-06,Hsp90,SNX-2112_4,3.39278823251757,8.53179941224777e-06,MT,EpothiloneB_7,5.40800153229139,1.89463129533253e-08,PLK,BI2536_1,5.51178341752122,1.57362590531226e-08,N/A,N/A,NaN,NaN
2013002121,G-11,12544,1,0,DMSO,DMSO,0.150207793840703,0.999724442247079,DNA,Gemcitabine_5,2.22357402229119,0.000734168496266046,mTOR,Torin1_2,2.43726152276024,0.00029298681852266,Proteasome,AclacinomycinA_4,2.48120975022859,0.000243448628954129,Actin,LatA_2,2.87722197587009,4.97581784408469e-05,AuroraB,ZM447439_2,2.91177490665834,4.36771976783668e-05,ER,Tunicamycin_2,3.02803161279995,2.85578393463663e-05,Hsp90,SNX-2112_4,3.20682440466772,1.55169468840081e-05,HDAC,Apicidin_3,3.31534263574374,1.09266067351415e-05,MT,EpothiloneB_7,5.08578675406006,3.6728298055605e-08,PLK,BI2536_1,5.28493454668461,2.38010203053479e-08,N/A,N/A,NaN,NaN
2013002114,N-8,370367,1,0,DMSO,DMSO,0.150214839088247,0.99972441390758,DNA,CPT_4,2.05640321805069,0.00148796356544879,Proteasome,AclacinomycinA_4,2.37432968891996,0.000383082517360716,mTOR,Torin1_2,2.47654292213615,0.000248263117303737,Actin,LatA_2,2.92421751831774,4.16923363151079e-05,AuroraB,ZM447439_2,2.96609446335334,3.57144338088064e-05,ER,Tunicamycin_2,3.04717835456625,2.66854677006143e-05,Hsp90,SNX-2112_4,3.28896698925036,1.18898636926887e-05,HDAC,Apicidin_3,3.41189497082816,8.02514427032664e-06,MT,EpothiloneB_7,5.29871089680369,2.31765659364835e-08,PLK,BI2536_1,5.40781013325431,1.8952824444668e-08,N/A,N/A,NaN,NaN
2013002122,D-17,205842,2,0,DMSO,DMSO,0.15023922249846,0.999724315803889,DNA,CPT_4,2.27059299834352,0.00059913745265669,Proteasome,MG-115_3,2.61796134889045,0.000138366297565879,mTOR,Torin1_2,2.64362404715813,0.00012467960162701,Actin,LatA_2,3.12261060843994,2.05530008224533e-05,AuroraB,ZM447439_2,3.13541496980358,1.96800762912724e-05,ER,Tunicamycin_2,3.15620920294711,1.83504748325385e-05,Hsp90,SNX-2112_4,3.50278296536792,5.97691380399233e-06,HDAC,Apicidin_3,3.52417223769383,5.57009139082361e-06,MT,EpothiloneB_7,5.41659627056965,1.86567426117592e-08,PLK,BI2536_1,5.5133060975058,1.5693119550879e-08,N/A,N/A,NaN,NaN
2013002118,G-4,49847,1,0,DMSO,DMSO,0.150239694477736,0.999724313904609,DNA,Gemcitabine_5,2.22887617957746,0.000717553967784856,mTOR,Torin1_2,2.48808487158123,0.000236533572385988,Proteasome,AclacinomycinA_4,2.51672901171402,0.00020987392147199,AuroraB,ZM447439_2,2.99320164577287,3.23590669111608e-05,Actin,LatA_2,3.00122284116552,3.14353735020779e-05,ER,Tunicamycin_2,3.17068237685919,1.74849717119968e-05,Hsp90,SNX-2112_4,3.25081258604052,1.34452307235261e-05,HDAC,Apicidin_3,3.42804334087118,7.6193714142671e-06,MT,EpothiloneB_7,5.19270109688452,2.87338052873912e-08,PLK,BI2536_1,5.34719394873652,2.11579330958722e-08,N/A,N/A,NaN,NaN
2013002125,M-20,110300,2,0,DMSO,DMSO,0.150251102002389,0.999724267996083,DNA,Gemcitabine_5,2.3269372755564,0.000469666367098892,Proteasome,MG-115_3,2.69747821250573,0.000100392221274956,mTOR,Torin1_2,2.70676548859893,9.67364139696024e-05,Actin,LatA_2,3.01967657092927,2.94213086169386e-05,ER,Tunicamycin_2,3.06602683061705,2.49776736472119e-05,AuroraB,ZM447439_2,3.07089975032562,2.45566062528136e-05,HDAC,Apicidin_3,3.35981817668692,9.47972806769043e-06,Hsp90,SNX-2112_4,3.50446282257615,5.94403010414562e-06,MT,EpothiloneB_7,5.20366087736414,2.80684803954444e-08,PLK,BI2536_1,5.378069969701,1.99967715016302e-08,N/A,N/A,NaN,NaN
2013002119,P-13,158549,2,0,DMSO,DMSO,0.150255178635127,0.999724251588284,DNA,CPT_4,1.99400151056728,0.00191189737144998,Proteasome,AclacinomycinA_4,2.24396260597853,0.000672273878215496,mTOR,Torin1_2,2.36893017244328,0.000392053285412699,ER,Tunicamycin_2,2.71664594978754,9.30010952623519e-05,Actin,LatA_2,2.71708897393109,9.28371720466255e-05,AuroraB,ZM447439_2,2.75660356731097,7.93864412611894e-05,HDAC,Apicidin_3,3.0491588099537,2.64999131751658e-05,Hsp90,SNX-2112_4,3.21842534187234,1.49385193887241e-05,MT,EpothiloneB_7,5.08386296952487,3.69015823521633e-08,PLK,BI2536_1,5.20891396652624,2.77580784047665e-08,N/A,N/A,NaN,NaN
2013002112,C-5,75071,2,0,DMSO,DMSO,0.150268791856481,0.999724196790485,DNA,Gemcitabine_5,2.16466121223061,0.000945576345704185,Proteasome,AclacinomycinA_4,2.46725131115318,0.000258150552124755,mTOR,Torin1_2,2.52720000917286,0.000200935378264466,Actin,LatA_2,2.95566284640149,3.7108513169977e-05,AuroraB,ZM447439_2,2.96254385224621,3.61821296913038e-05,ER,Tunicamycin_2,3.02230512606627,2.91465628821151e-05,Hsp90,SNX-2112_4,3.28215046263193,1.21529779181292e-05,HDAC,Apicidin_3,3.30583295034055,1.12641980410694e-05,MT,EpothiloneB_7,5.14977373736077,3.15907248858056e-08,PLK,BI2536_1,5.30231038405176,2.30173961029056e-08,N/A,N/A,NaN,NaN
2013002119,C-20,107022,2,0,DMSO,DMSO,0.15031662105312,0.999724004179522,DNA,Gemcitabine_5,2.26364655004118,0.000617414762550425,mTOR,Torin1_2,2.4081165440009,0.000331589894330522,Proteasome,AclacinomycinA_4,2.51653516739006,0.000210043289182095,Actin,LatA_2,3.01097823527461,3.03518625331498e-05,AuroraB,ZM447439_2,3.01978491896019,2.94099242685496e-05,Hsp90,SNX-2112_4,3.18590927276998,1.66236416585545e-05,ER,Tunicamycin_2,3.20338160568921,1.56933564056821e-05,HDAC,Apicidin_3,3.45989941036125,6.87440036055464e-06,MT,EpothiloneB_7,5.27310377967546,2.43576591285149e-08,PLK,BI2536_1,5.43401527493267,1.80846961546775e-08,N/A,N/A,NaN,NaN
2013002119,I-12,79887,2,0,DMSO,DMSO,0.150340665037955,0.999723907304552,DNA,Gemcitabine_5,2.12559980128937,0.00111609952818051,Proteasome,AclacinomycinA_4,2.42059621008514,0.000314445256764086,mTOR,Torin1_2,2.47016317778156,0.000255008525354184,Actin,LatA_2,2.85643563772023,5.38606218450917e-05,AuroraB,ZM447439_2,2.88116351361431,4.90196037451924e-05,ER,Tunicamycin_2,2.9031498063268,4.51143865887542e-05,HDAC,Apicidin_3,3.27326921573129,1.2505127758348e-05,Hsp90,SNX-2112_4,3.29843439306967,1.15342918583996e-05,MT,EpothiloneB_7,5.05484646670444,3.96671157385899e-08,PLK,BI2536_1,5.20665928089092,2.78906545108853e-08,N/A,N/A,NaN,NaN
2013002125,K-21,120289,2,0,DMSO,DMSO,0.150369633371383,0.999723790545955,DNA,Gemcitabine_5,2.14501793250155,0.00102806347413229,mTOR,Torin1_2,2.45434135928984,0.000272581024249719,Proteasome,AclacinomycinA_4,2.47105137236566,0.000254058092972402,Actin,LatA_2,2.92183217270602,4.20650170189129e-05,AuroraB,ZM447439_2,2.93804042225117,3.96038382259459e-05,ER,Tunicamycin_2,3.1434017197381,1.91568599501331e-05,Hsp90,SNX-2112_4,3.22127252687196,1.48002337048433e-05,HDAC,Apicidin_3,3.43673869691765,7.4089049075304e-06,MT,EpothiloneB_7,5.17185373011148,3.0068919835452e-08,PLK,BI2536_1,5.34875258725206,2.10971981805573e-08,N/A,N/A,NaN,NaN
2013002112,E-22,41833,2,0,DMSO,DMSO,0.150376432536426,0.999723763134693,DNA,Gemcitabine_5,2.05523558312404,0.00149507874140984,Proteasome,AclacinomycinA_4,2.28206855251274,0.000570122782289573,mTOR,Torin1_2,2.32361682643294,0.000476441522256858,Actin,LatA_2,2.73616243863988,8.60652290130956e-05,AuroraB,ZM447439_2,2.74906537989428,8.17828525268406e-05,ER,Tunicamycin_2,2.86652527040977,5.18249450675633e-05,Hsp90,SNX-2112_4,3.15774071868104,1.82566446017659e-05,HDAC,Apicidin_3,3.18399799157852,1.67291039488224e-05,MT,EpothiloneB_7,5.00714317595133,4.48965307366868e-08,PLK,BI2536_1,5.13098159523329,3.29808810112399e-08,N/A,N/A,NaN,NaN
2013002111,M-14,83237,1,0,DMSO,DMSO,0.150410326266028,0.999723626451285,DNA,Gemcitabine_5,2.11051668036431,0.00118918152247873,Proteasome,MG-115_3,2.4455892714537,0.000282844133709448,mTOR,Torin1_2,2.64037656491376,0.000126329812179736,Actin,LatA_2,2.80049852445259,6.68429615559094e-05,AuroraB,ZM447439_2,2.86370086349022,5.23861385238364e-05,ER,Tunicamycin_2,2.92818544977882,4.1080524497097e-05,HDAC,Apicidin_3,3.18260087657742,1.68066623926054e-05,Hsp90,SNX-2112_4,3.41218500285739,8.01767934475735e-06,MT,EpothiloneB_7,5.05040221310581,4.01169008719007e-08,PLK,BI2536_1,5.17241828716493,3.00314874977615e-08,N/A,N/A,NaN,NaN
2013002126,L-12,19990,3,0,DMSO,DMSO,0.150437228067272,0.999723517918355,DNA,Gemcitabine_5,2.26372622221017,0.00061720203521296,mTOR,Torin1_2,2.39159100625251,0.000355810045902363,Proteasome,AclacinomycinA_4,2.46131558889677,0.000264683455805106,Actin,LatA_2,2.97544629605636,3.45145354836799e-05,AuroraB,ZM447439_2,3.00005223232753,3.15682899087726e-05,ER,Tunicamycin_2,3.08640142945882,2.32700074091055e-05,Hsp90,SNX-2112_4,3.17341623736657,1.73267210771561e-05,HDAC,Apicidin_3,3.42735807841518,7.6361910056704e-06,MT,EpothiloneB_7,5.27827819728773,2.41118077257014e-08,PLK,BI2536_1,5.44039221889478,1.78800141814574e-08,N/A,N/A,NaN,NaN
