pert_id,pert_dose,det_plate,BROAD_CPD_ID,CPD_NAME,CPD_TYPE,CPD_SMILES,pert_id_dose,pert_sample_dose,pert_type,control_type,moa,Compound_Category
BRD-A80594172-001-02-0,10.0,PAC005_U2OS_6H_X3_B1_UNI4445R,BRD-A80594172,betamethasone valerate,BIO,CCCCC(=O)O[C@@]1([C@@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(O)C[C@]12C)C(=O)CO,BRD-A80594172_10.0,BRD-A80594172-001-02-0_10.0,trt,,glucocorticoid receptor agonist,glucocorticoid receptor agonist
BRD-A82238138-001-01-7,10.0,PAC005_U2OS_6H_X3_B1_UNI4445R,BRD-A82238138,BRD-A82238138,BIO,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO,BRD-A82238138_10.0,BRD-A82238138-001-01-7_10.0,trt,,glucocorticoid receptor agonist,glucocorticoid receptor agonist
BRD-A85137183-001-01-2,10.0,PAC005_U2OS_6H_X3_B1_UNI4445R,BRD-A85137183,cefprozil,BIO,C\C=C/C1=C(N2C(SC1)C(NC(=O)C(N)c1ccc(O)cc1)C2=O)C(O)=O,BRD-A85137183_10.0,BRD-A85137183-001-01-2_10.0,trt,,bacterial cell wall synthesis inhibitor,bacterial cell wall synthesis inhibitor
BRD-A89434049-001-02-1,10.0,PAC005_U2OS_6H_X3_B1_UNI4445R,BRD-A89434049,sarmentogenin,BIO,CC12C[C@@H](O)C3C(CCC4CC(O)CCC34C)C1(O)CCC2C1=CC(=O)OC1,BRD-A89434049_10.0,BRD-A89434049-001-02-1_10.0,trt,,ATPase inhibitor,ATPase inhibitor
BRD-A09161221-001-01-9,10.0,PAC006_U2OS_6H_X2_B1_UNI4445L,BRD-A09161221,nomilin hydrochloride,BIO,CC(=O)O[C@@H]1CC(=O)OC(C)(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@@]345)c3ccoc3)[C@@]12C,BRD-A09161221_10.0,BRD-A09161221-001-01-9_10.0,trt,,HSP inhibitor,HSP inhibitor
BRD-A11678676-001-02-6,10.0,PAC006_U2OS_6H_X2_B1_UNI4445L,BRD-A11678676,wortmannin,BIO,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O)C3=O,BRD-A11678676_10.0,BRD-A11678676-001-02-6_10.0,trt,,PI3K inhibitor,PI3K inhibitor
BRD-A34806832-001-02-7,3.76896,PAC006_U2OS_6H_X2_B1_UNI4445L,BRD-A34806832,proscillaridin,BIO,C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C)C4CC[C@]5(C)[C@H](CC[C@]5(O)C4CCC3=C2)c2ccc(=O)oc2)[C@H](O)[C@H](O)[C@H]1O,BRD-A34806832_3.77,BRD-A34806832-001-02-7_3.77,trt,,ATPase inhibitor,ATPase inhibitor
BRD-A37704979-001-02-4,13.2473,PAC006_U2OS_6H_X2_B1_UNI4445L,BRD-A37704979,SB-203580,BIO,CS(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccncc1)-c1ccc(F)cc1,BRD-A37704979_13.25,BRD-A37704979-001-02-4_13.25,trt,,p38 MAPK inhibitor,MAPK inhibitor
BRD-A40022950-001-02-9,10.0,PAC006_U2OS_6H_X2_B1_UNI4445L,BRD-A40022950,gitoxigenin diacetate,BIO,CC(=O)OC1CC2(O)C3CCC4CC(CC[C@]4(C)C3CC[C@]2(C)C1C1=CC(=O)OC1)OC(C)=O,BRD-A40022950_10.0,BRD-A40022950-001-02-9_10.0,trt,,ATPase inhibitor,ATPase inhibitor
BRD-A22380646-001-01-5,10.0,PAC006_U2OS_6H_X2_B1_UNI4445R,BRD-A22380646,pantoprazole,BIO,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,BRD-A22380646_10.0,BRD-A22380646-001-01-5_10.0,trt,,ATPase inhibitor,ATPase inhibitor
BRD-A30717181-001-02-7,10.0,PAC006_U2OS_6H_X2_B1_UNI4445R,BRD-A30717181,triamcinolone diacetate,BIO,CC(=O)OCC(=O)[C@@]1(O)[C@@H](CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)OC(C)=O,BRD-A30717181_10.0,BRD-A30717181-001-02-7_10.0,trt,,glucocorticoid receptor agonist,glucocorticoid receptor agonist
BRD-A44551378-001-01-9,10.0,PAC006_U2OS_6H_X2_B1_UNI4445R,BRD-A44551378,LFM-A12,BIO,CC(=O)C(C#N)C(=O)Nc1ccc(OC(F)(F)F)cc1,BRD-A44551378_10.0,BRD-A44551378-001-01-9_10.0,trt,,EGFR inhibitor,EGFR inhibitor
BRD-K41996876-001-05-5,27.1452895159137,PAC002_U2OS_6H_X1_B1_UNI4445L,BRD-K41996876,tyrphostin 1,BIO,COc1ccc(C=C(C#N)C#N)cc1,BRD-K41996876_27.15,BRD-K41996876-001-05-5_27.15,trt,,EGFR inhibitor,EGFR inhibitor
BRD-K41996876-001-05-5,27.1452895159137,PAC002_U2OS_6H_X3_B1_UNI4445L,BRD-K41996876,tyrphostin 1,BIO,COc1ccc(C=C(C#N)C#N)cc1,BRD-K41996876_27.15,BRD-K41996876-001-05-5_27.15,trt,,EGFR inhibitor,EGFR inhibitor
BRD-A49225603-045-02-7,10.0,PAC005_U2OS_6H_X1_B1_UNI4445L,BRD-A49225603,trimeprazine tartrate,BIO,CC(CN(C)C)CN1c2ccccc2Sc2ccccc12,BRD-A49225603_10.0,BRD-A49225603-045-02-7_10.0,trt,,histamine receptor agonist,histamine receptor agonist
BRD-A49225603-045-02-7,10.0,PAC005_U2OS_6H_X3_B1_UNI4445L,BRD-A49225603,trimeprazine tartrate,BIO,CC(CN(C)C)CN1c2ccccc2Sc2ccccc12,BRD-A49225603_10.0,BRD-A49225603-045-02-7_10.0,trt,,histamine receptor agonist,histamine receptor agonist
BRD-A00100033-001-04-8,6.96155827520432,PAC006_U2OS_6H_X2_B1_UNI4445L,BRD-A00100033,BRD-A00100033,BIO,CC1CS(=O)(=O)CCN1N=Cc1ccc(o1)[N+]([O-])=O,BRD-A00100033_6.96,BRD-A00100033-001-04-8_6.96,trt,,DNA inhibitor,DNA inhibitor
