Cells_AreaShape_FormFactor,Cells_AreaShape_Zernike_1_1,Cells_AreaShape_Zernike_2_2,Cells_AreaShape_Zernike_5_1,Cells_AreaShape_Zernike_6_0,Cells_AreaShape_Zernike_6_2,Cells_AreaShape_Zernike_7_1,Cells_AreaShape_Zernike_7_3,Cells_AreaShape_Zernike_8_0,Cells_AreaShape_Zernike_8_2,Cells_AreaShape_Zernike_8_4,Cells_AreaShape_Zernike_9_1,Cells_AreaShape_Zernike_9_3,Cells_Granularity_2_ER,Cells_Granularity_2_RNA,Cells_RadialDistribution_RadialCV_AGP_4of4,Cells_RadialDistribution_RadialCV_ER_3of4,Cells_RadialDistribution_RadialCV_ER_4of4,Cells_RadialDistribution_RadialCV_RNA_1of4,Cells_Texture_InfoMeas2_ER_5_0,Cytoplasm_AreaShape_Zernike_1_1,Cytoplasm_AreaShape_Zernike_6_0,Cytoplasm_AreaShape_Zernike_6_2,Cytoplasm_AreaShape_Zernike_7_1,Cytoplasm_AreaShape_Zernike_7_3,Cytoplasm_AreaShape_Zernike_8_0,Cytoplasm_AreaShape_Zernike_8_2,Cytoplasm_AreaShape_Zernike_8_4,Cytoplasm_AreaShape_Zernike_9_1,Cytoplasm_AreaShape_Zernike_9_3,Cytoplasm_Correlation_Overlap_ER_AGP,Cytoplasm_Intensity_MassDisplacement_DNA,Cytoplasm_RadialDistribution_MeanFrac_AGP_4of4,Cytoplasm_RadialDistribution_RadialCV_ER_1of4,Nuclei_AreaShape_Orientation,Nuclei_AreaShape_Zernike_2_0,Nuclei_AreaShape_Zernike_3_1,Nuclei_AreaShape_Zernike_4_2,Nuclei_AreaShape_Zernike_4_4,Nuclei_AreaShape_Zernike_6_0,Nuclei_AreaShape_Zernike_6_2,Nuclei_AreaShape_Zernike_6_4,Nuclei_AreaShape_Zernike_7_1,Nuclei_AreaShape_Zernike_8_0,Nuclei_AreaShape_Zernike_8_2,Nuclei_AreaShape_Zernike_9_1,Nuclei_AreaShape_Zernike_9_3,Nuclei_Granularity_7_DNA,Nuclei_Intensity_StdIntensityEdge_RNA,Nuclei_Texture_Correlation_AGP_10_0,Nuclei_Texture_Correlation_RNA_20_0,Nuclei_Texture_DifferenceVariance_DNA_5_0,Nuclei_Texture_DifferenceVariance_ER_20_0,Nuclei_Texture_DifferenceVariance_Mito_10_0,Nuclei_Texture_Gabor_DNA_20,Nuclei_Texture_InfoMeas1_DNA_20_0,Nuclei_Texture_InfoMeas2_DNA_20_0,Nuclei_Texture_SumEntropy_DNA_10_0
-0.13424,-0.36192,1.2556,-0.48994,0.13454,0.5229699999999999,-0.4424,-0.75908,-0.34613,0.26676,-0.33969,0.81524,-0.59642,1.2743,-0.70932,-1.6958,-0.81999,-0.98472,0.46318,-1.3017,-0.57216,0.75658,-1.0259,0.30124,0.2362,1.4049,1.6205,0.00041894,-0.23433,-2.7365,-1.3691,-1.3139,0.70968,-0.45205,-1.057,0.69453,-0.94459,2.2142,0.17235,-0.7419399999999999,0.090308,0.93805,-1.2891,1.6893,1.26,0.70294,-0.99456,1.1297,-1.8807,-1.148,0.22551,0.8503200000000001,0.62156,2.6203,0.5525399999999999,0.27046,-0.29889,-0.36643
-0.015648,-0.2877,1.7237,-0.058793,-0.2089,-0.79668,-0.29548,-0.3628,-0.085475,-0.45396,-0.43273,-0.35619,-0.44795,0.74558,-1.4751,-1.122,-1.1172,-0.15373,-0.9175,-0.68979,-0.63173,-2.2031,0.76276,-2.0147,1.2627,-0.8235299999999999,-0.84241,0.91287,-0.67909,1.6121,0.7046899999999999,-1.0835,-0.35191,-2.4631,-0.18749,0.76131,1.5184,-0.64888,0.049717,0.73211,-0.7394,-1.6636,1.6798,-1.1329,-0.62589,0.41843,-0.21265,-0.27502,-2.4369,-0.41203,0.8476600000000001,1.2788,1.6015,0.86911,1.1635,-0.88849,0.45666,-0.23672
2.0136,-0.91513,2.6069,-1.3098,-0.31866,-0.98241,0.12255,0.12666,-0.43697,1.2444,0.81098,0.69181,-2.8541,-1.2939,1.3135,0.2743,1.5215,2.1041,-0.4250100000000001,2.5227,0.22243,-3.1634,-1.6621,0.2601,0.7319399999999999,-0.85357,0.96556,0.5132,-0.1406,-4.3722,-6.5335,2.6472,0.029326,6.5447,2.4407,0.33391,-3.3831,2.0548,-3.4205,2.8807,2.9294,1.7939,-2.7375,1.5223,2.8982,-2.2559,-1.8332,3.1209,-3.0555,-2.2251,-1.0823,5.0375,2.4636,2.2099,-4.303999999999999,3.9422,-3.4817,-1.3133
1.2197,-0.8133699999999999,2.3624,-1.1693,1.5897,-3.1134,-1.324,-1.3164,-0.11594,-0.38272,-2.8112,0.85854,-1.7829,1.7334,1.9758,0.81192,0.38869,0.7297100000000001,0.23436,-1.4157,-0.38673,-2.008,-1.4223,-1.1653,0.13122,-1.5311,-0.17072,-1.8236,-0.7238100000000001,-1.5128,-3.906,-0.029341,-0.22874,2.0472,-1.2064,2.6312,0.065618,-1.3376,3.3078,-1.0283,3.0818,-0.68866,0.39233,1.5948,-2.5236,1.4482,0.94331,1.4308,-1.622,-3.1317,-1.0629,1.3057,1.9826,5.2191,1.9028,1.2831,-1.2325,-2.9995
1.358,0.02372,-1.7975,-1.3327,1.1188,-4.9414,-0.48076,0.54737,-0.10127,0.9746,-0.91013,-0.0086612,0.30077,-1.014,0.27794,-0.66899,1.2648,0.7861100000000001,0.36139,0.11126,0.40114,-0.8247200000000001,-1.9519,2.0264,-1.1384,1.8074,0.5849300000000001,-2.5157,1.9043,-0.74615,-5.0738,0.49522,0.85044,2.7779,0.019468,2.0969,-0.7095899999999999,3.5404,2.4428,1.4647,1.3264,0.11619,-0.8462,-1.6258,0.53654,-0.44064,-0.040349,2.1549,-1.4086,-0.93625,-0.16352,0.56592,0.29188,0.49355,-1.3094,0.9917,-1.0631,-1.3911
1.7122,-0.91131,-0.7136899999999999,-1.0028,0.48153,-0.68915,-1.2732,1.007,-0.54586,1.8674,0.26747,0.64093,0.27133,-0.28648,-0.24723,-0.74705,0.75244,0.35631,0.21204,0.5229,-1.2294,0.26871,0.13989,-0.7891100000000001,-0.20296,0.83739,2.4041,-0.1018,0.19267,1.0949,-0.7046899999999999,1.0498,1.8534,-0.187,1.6488,2.3641,-1.0575,-2.6809,0.83193,3.4345,3.8833,1.0004,-0.7159800000000001,1.621,0.66822,-1.1054,-1.3653,2.4090000000000003,-2.4556,0.40924,-0.75263,1.2298,-0.022685,-0.79591,-2.3177,1.0506,-0.6014,0.22375
-2.8256,0.31831,0.014989,-0.5944699999999999,0.33282,-1.4418,0.5919300000000001,-2.7314,0.68352,-1.4073,-1.0276,0.62144,-0.0627139999999999,-0.85775,-1.405,-1.6145,0.22656,-0.84252,-0.92856,1.4908,0.085032,0.77051,0.43634,-0.40411,0.65612,-3.0594,-0.60732,0.38165,-0.1706099999999999,0.59682,0.18121,-0.054389,1.0557,-0.1263,-0.66584,0.62774,-1.0026,-2.0775,-1.1369,0.30508,4.3066,0.22389,-1.3929,-0.12496,1.1448,2.8666,1.4340000000000002,0.7328,-3.0708,1.5059,0.4879600000000001,-1.4864,0.65786,-1.7632,-2.1165,-0.41738,-0.042698,1.1317
0.7272,0.30377,-1.2533,-1.055,0.12746,-1.1779,1.0034,1.2902,0.21185,0.27131,-0.26135,-0.081199,1.4527,0.11323,-0.59055,0.93835,0.8335,1.1079,-0.065603,-0.35602,-0.31659,-0.92849,-0.8560200000000001,0.013225,-0.13122,-0.8979299999999999,0.081163,-1.6234,0.47692,0.42644,-1.2986,0.677,1.8534,-0.68882,-0.18749,2.8449,2.1044,-1.5311,3.6525,0.72407,3.0479,-1.4085,1.2215,-0.60822,-0.77247,1.9048,0.85606,1.1175,-2.2354,-0.28133,1.1428,0.32187,1.2386,1.0176,-0.34007,0.53577,-0.52903,-0.93715
-2.2425,-0.4744,-16.523,1.5907,-1.9969,3.7292,-0.29092,4.1338,3.8159,2.8404,-1.3667,3.6821,0.89591,-7.6601,-4.5136,8.5078,10.675,11.92,-0.034731,6.617000000000001,-8.1847,-3.2516,-5.3726,-4.2923,2.3416,0.8267700000000001,-1.3283,-1.1274,5.5273,0.024554,-3.302,2.5799,-0.44575,-2.684,5.0262,1.0819,3.8043,-7.6442,1.8064,5.5027,-14.178,-11.934,4.8201,4.4467,-5.4825,9.0355,5.9848,-6.528,2.2071,7.9761,8.2032,-2.8459,1.2023,3.5643,-3.859,0.54852,-2.4599,-3.6935
-3.8254,4.2145,-19.051,3.4361,0.3222,-2.5073,2.3251,-7.3773,-0.48379,4.0022,-13.0,3.759,-1.1928,-7.8272,-3.0571,12.880999999999998,7.2739,15.17,-1.0162,4.4336,0.30218,-2.7855,-6.7049,-4.933,-2.9966,-1.4553,-4.7097,-7.7692,1.2549,1.595,-4.8724,1.1479,1.9707,-8.1976,-1.1182,5.3024,7.2958,18.055,2.7676,5.8377,-15.725,-8.3308,8.0791,-2.2306,2.6231,9.3964,3.5202,-5.7581,-2.152,5.7639,7.1382,3.6895,2.7479,8.584,-2.0939,2.8646,-5.1231,-3.1682
