run,test/acc,test/f1,test/loss
0,0.5043101501464844,0.4845186567306518,2.367223024368286
1,0.4939544105529785,0.4992490208148956,2.351177930831909
2,0.5048985576629638,0.49954999923706,2.3650734424591064
3,0.497533917427063,0.4907505011558532,2.3617892265319824
4,0.4966285228729248,0.4814249181747436,2.4382853507995605
