dataset	model	top_n	fold	modality	f1
CDRP-bio	MLP	100	4	EarlyFusion	0.24848484848484848
CDRP-bio	MLP	100	4	LateFusion	0.10666666666666666
CDRP-bio	MLP	100	5	CP	0.08816568047337278
CDRP-bio	MLP	100	5	GE	0.03076923076923077
CDRP-bio	MLP	100	5	EarlyFusion	0.1558974358974359
CDRP-bio	MLP	100	5	LateFusion	0.08816568047337278
CDRP-bio	MLP	200	1	CP	0.0
CDRP-bio	MLP	200	1	GE	0.11333333333333334
CDRP-bio	MLP	200	1	EarlyFusion	0.3107638888888889
CDRP-bio	MLP	200	1	LateFusion	0.030000000000000002
CDRP-bio	MLP	200	2	CP	0.0844017094017094
CDRP-bio	MLP	200	2	GE	0.08555555555555555
CDRP-bio	MLP	200	2	EarlyFusion	0.3055555555555555
CDRP-bio	MLP	200	2	LateFusion	0.0844017094017094
CDRP-bio	MLP	200	3	CP	0.22189542483660132
CDRP-bio	MLP	200	3	GE	0.07427536231884058
CDRP-bio	MLP	200	3	EarlyFusion	0.22189542483660132
CDRP-bio	MLP	200	3	LateFusion	0.16071428571428573
CDRP-bio	MLP	200	4	CP	0.11142857142857142
CDRP-bio	MLP	200	4	GE	0.14095238095238094
CDRP-bio	MLP	200	4	EarlyFusion	0.2
CDRP-bio	MLP	200	4	LateFusion	0.10896551724137932
CDRP-bio	MLP	200	5	CP	0.08816568047337278
CDRP-bio	MLP	200	5	GE	0.006153846153846154
CDRP-bio	MLP	200	5	EarlyFusion	0.1769230769230769
CDRP-bio	MLP	200	5	LateFusion	0.08816568047337278
CDRP-bio	MLP	500	1	CP	0.0
CDRP-bio	MLP	500	1	GE	0.030000000000000002
CDRP-bio	MLP	500	1	EarlyFusion	0.22364672364672367
CDRP-bio	MLP	500	1	LateFusion	0.028846153846153844
CDRP-bio	MLP	500	2	CP	0.0844017094017094
CDRP-bio	MLP	500	2	GE	0.03125
CDRP-bio	MLP	500	2	EarlyFusion	0.3107638888888889
CDRP-bio	MLP	500	2	LateFusion	0.027777777777777776
CDRP-bio	MLP	500	3	CP	0.22189542483660132
CDRP-bio	MLP	500	3	GE	0.03260869565217391
CDRP-bio	MLP	500	3	EarlyFusion	0.2467948717948718
CDRP-bio	MLP	500	3	LateFusion	0.11904761904761905
CDRP-bio	MLP	500	4	CP	0.11142857142857142
CDRP-bio	MLP	500	4	GE	0.06666666666666668
CDRP-bio	MLP	500	4	EarlyFusion	0.20028985507246377
CDRP-bio	MLP	500	4	LateFusion	0.10896551724137932
CDRP-bio	MLP	500	5	CP	0.08816568047337278
CDRP-bio	MLP	500	5	GE	0.02564102564102564
CDRP-bio	MLP	500	5	EarlyFusion	0.20310391363022942
CDRP-bio	MLP	500	5	LateFusion	0.10256410256410256
CDRP-bio	MLP	978	1	CP	0.0
CDRP-bio	MLP	978	1	GE	0.12916666666666668
CDRP-bio	MLP	978	1	EarlyFusion	0.11594202898550722
CDRP-bio	MLP	978	1	LateFusion	0.09791666666666667
CDRP-bio	MLP	978	2	CP	0.0844017094017094
CDRP-bio	MLP	978	2	GE	0.11111111111111112
CDRP-bio	MLP	978	2	EarlyFusion	0.025000000000000005
CDRP-bio	MLP	978	2	LateFusion	0.10899758454106279
CDRP-bio	MLP	978	3	CP	0.22189542483660132
CDRP-bio	MLP	978	3	GE	0.0849673202614379
CDRP-bio	MLP	978	3	EarlyFusion	0.03333333333333333
CDRP-bio	MLP	978	3	LateFusion	0.1644736842105263
CDRP-bio	MLP	978	4	CP	0.11142857142857142
CDRP-bio	MLP	978	4	GE	0.18285714285714286
CDRP-bio	MLP	978	4	EarlyFusion	0.17777777777777778
CDRP-bio	MLP	978	4	LateFusion	0.11142857142857142
CDRP-bio	MLP	978	5	CP	0.08816568047337278
CDRP-bio	MLP	978	5	GE	0.12790346907993969
CDRP-bio	MLP	978	5	EarlyFusion	0.02387267904509284
CDRP-bio	MLP	978	5	LateFusion	0.08816568047337278
