nonborder...Object.No.in.Nuclei,nonborder...Nucleus.Area..µm..,nonborder...Nucleus.Roundness,nonborder...Cell.Area..µm..,nonborder...Cell.Roundness,nonborder...Cell.Nearest.Neighbor.Distance..µm.,nonborder...Cell.Contact.Area.with.Neighbors....,nonborder...Intensity.Nucleus.HOECHST.33342.Mean,nonborder...Intensity.Nucleus.HOECHST.33342.StdDev,nonborder...Nucleus.HOECHST.33342.SER.Spot.0.px,nonborder...Nucleus.HOECHST.33342.SER.Edge.0.px,nonborder...Nucleus.HOECHST.33342.SER.Valley.0.px,nonborder...Nucleus.HOECHST.33342.SER.Bright.0.px,nonborder...Nucleus.HOECHST.33342.Haralick.Correlation.1.px,nonborder...Nucleus.HOECHST.33342.Haralick.Contrast.1.px,nonborder...Nucleus.HOECHST.33342.Haralick.Sum.Variance.1.px,nonborder...Nucleus.HOECHST.33342.Haralick.Homogeneity.1.px,nonborder...Cytoplasm.Alexa.488.SER.Spot.0.px,nonborder...Cytoplasm.Alexa.488.SER.Edge.0.px,nonborder...Cytoplasm.Alexa.488.Haralick.Correlation.1.px,nonborder...Cytoplasm.Alexa.488.Haralick.Contrast.1.px,nonborder...Cytoplasm.Alexa.488.Haralick.Sum.Variance.1.px,nonborder...Cytoplasm.Alexa.488.Haralick.Homogeneity.1.px,nonborder...Cell.Alexa.568.SER.Ridge.0.px,nonborder...Cell.Alexa.568.Haralick.Correlation.1.px,nonborder...Cell.Alexa.568.Haralick.Contrast.1.px,nonborder...Cell.Alexa.568.Haralick.Sum.Variance.1.px,nonborder...Cell.Alexa.568.Haralick.Homogeneity.1.px,nonborder...Cytoplasm.MitoTracker.Deep.Red.SER.Spot.0.px,nonborder...Cytoplasm.MitoTracker.Deep.Red.SER.Ridge.0.px,nonborder...Cytoplasm.MitoTracker.Deep.Red.SER.Bright.0.px,nonborder...Nucleus.SYTO14.Haralick.Correlation.1.px,nonborder...Nucleus.SYTO14.Haralick.Contrast.1.px,nonborder...Nucleus.SYTO14.Haralick.Sum.Variance.1.px,nonborder...Nucleus.SYTO14.Haralick.Homogeneity.1.px,nonborder...Cytoplasm.SYTO14.SER.Spot.0.px,nonborder...Cytoplasm.SYTO14.SER.Saddle.0.px,nonborder...Cytoplasm.SYTO14.SER.Bright.0.px,nonborder...Intensity.Cytoplasm.Alexa.488.Mean,nonborder...Intensity.Cytoplasm.Alexa.488.StdDev,nonborder...Intensity.Cell.Alexa.568.Mean,nonborder...Intensity.Cell.Alexa.568.StdDev,nonborder...Intensity.Cytoplasm.MitoTracker.Deep.Red.Mean,nonborder...Intensity.Cytoplasm.MitoTracker.Deep.Red.StdDev,nonborder...Intensity.Cytoplasm.SYTO14.Mean,nonborder...Intensity.Cytoplasm.SYTO14.StdDev,nonborder...Intensity.Nucleus.SYTO14.Mean,nonborder...Intensity.Nucleus.SYTO14.StdDev,nonborder...Cytoplasm.HOECHST.33342.SER.Spot.0.px,nonborder...Cytoplasm.HOECHST.33342.SER.Hole.0.px,nonborder...Cytoplasm.HOECHST.33342.SER.Edge.0.px,nonborder...Cytoplasm.HOECHST.33342.SER.Ridge.0.px,nonborder...Cytoplasm.HOECHST.33342.SER.Valley.0.px,nonborder...Cytoplasm.HOECHST.33342.SER.Saddle.0.px,nonborder...Cytoplasm.HOECHST.33342.SER.Bright.0.px,nonborder...Cytoplasm.HOECHST.33342.SER.Dark.0.px,nonborder...Cell.Symmetry.02,nonborder...Cell.Symmetry.03,nonborder...Cell.Symmetry.04,nonborder...Cell.Symmetry.05,nonborder...Cell.Symmetry.12,nonborder...Cell.Symmetry.13,nonborder...Cell.Symmetry.14,nonborder...Cell.Symmetry.15,nonborder...Cell.Threshold.Compactness.30.,nonborder...Cell.Threshold.Compactness.40.,nonborder...Cell.Threshold.Compactness.50.,nonborder...Cell.Threshold.Compactness.60.,nonborder...Cell.Axial.Small.Length,nonborder...Cell.Axial.Length.Ratio,nonborder...Cell.Radial.Mean,nonborder...Cell.Radial.Relative.Deviation,nonborder...Cell.Profile.1.5,nonborder...Cell.Profile.2.5,nonborder...Cell.Profile.3.5,nonborder...Cell.Profile.4.5,nonborder...Cell.Profile.5.5
-0.480968999026407,0.674774198656459,0.10313402955233,0.795341196901556,-0.303511111923164,0.0387723158547738,-0.338223223366926,-0.74019598886676,-0.775381410900586,0.58568096256061,-0.592342635104507,0.61413040924835,0.556461864130279,-0.420023474117132,-0.0655074037435039,-0.497561145376826,0.142112374722778,0.566280865600777,-0.315327146340474,0.369839886341617,0.238707086930335,0.439928522811772,0.112803566444475,0.55991094104412,0.508783478676227,0.28828913012648,0.563515584012195,-0.248968678845714,0.618412622248833,0.588935107920312,0.637640190086356,0.659597111761333,0.545840913698252,0.694659681855238,-0.289963466338829,0.583779358255704,0.460418377439206,0.586961570045032,-0.595496780366883,-0.251102313818523,-0.682183075492169,-0.290343332889605,-0.79648253508162,-0.638123847366391,-0.687306335885445,-0.362273989380994,-0.660128890130169,0.322441099368252,0.484005005364889,0.278175811693081,-0.591392325200431,0.484896472322906,0.0776370145194752,0.246726508149456,0.482305657405296,0.202803661834303,-0.0521492564064415,-0.0874345608956707,-0.0733627934373399,-0.0460572966830846,0.0576300886326283,-0.065706124586832,-0.0686441304701523,-0.0465297372169163,-0.745626357831507,-0.572440794848571,-0.296970551206724,0.178611581666523,0.722194177409686,-0.0537903564707387,0.782343078833185,0.402081870551294,-0.477239089409694,-0.150916339231938,0.690729507471306,0.609346318052536,0.463069158159692
-0.703545964311267,0.536164183681022,-0.530000599159063,0.499761393714469,0.134778364013802,0.143767159739331,-0.422992200358791,0.271282306127987,0.342503991456697,-0.367067398345616,-0.504410163147488,-0.248546686826607,-0.388848592504873,0.542707705537992,-0.434901367844895,0.521571488487335,0.376440360764245,0.222518173242328,0.144920615214453,0.20677481692385,0.282105637912977,0.306001596199221,0.0908417952114965,0.264473039604414,0.36045338718716,0.235257338817401,0.413126517722773,-0.168360877027889,0.358621862064879,0.232008513607947,0.311499578175744,0.245144168243865,-0.150061854362054,0.115180223521575,0.125121329710183,0.280993031670208,0.283219953368904,0.296754774796636,-0.175238351866325,0.14472912888255,-0.271751764875886,0.121247942593513,-0.42816572755514,-0.23417158521522,-0.255426813726735,-0.0356470439681911,-0.0989719135378228,-0.0717975829218521,0.0885711020758268,-0.208888594191899,-0.305732295372912,-0.0958023078536434,-0.318406303756728,-0.221892961036982,-0.0780212633283767,-0.247280950002775,0.105218675435536,-0.05925824108046,0.071242832119155,-0.040800617486281,0.08197059891235,-0.0620940256792525,-0.0894163838283445,-0.0548977728905196,-0.312559431292316,-0.255237531323683,-0.312853371679513,-0.277935086402261,0.439937123543074,-0.0712780767698983,0.49490820530714,0.139272761876566,-0.282779318666828,-0.104346233200285,0.199321460060286,0.316995323034846,0.322936161364109
-0.702780701317953,0.287904198033595,-0.0936352723102261,0.522403928217414,-0.251719232982126,0.159676832932117,-0.662322307228139,-0.363260349013289,-0.379176059203921,0.236276307077604,-0.169011834915872,0.288608654274258,0.214965038711924,-0.280007195098148,0.166523912857666,-0.328846092513143,-0.169644340175055,0.573762614373211,0.434694798808343,0.280822820267818,0.614052057101739,0.66396500927676,-0.244579874869709,0.669208424388321,0.390768076727302,0.4957129206868,0.534521545109055,-0.351821163539223,0.345801319728211,0.334079310334262,0.361107082636719,0.501629740759593,0.430505430130367,0.618395722743782,-0.203248255124913,0.554517939704292,0.627504108192794,0.597766562732027,-0.58658839738097,0.0708027599829537,-0.674032712182041,-0.132324233575339,-0.286418401435544,0.146408398935655,-0.67638777254757,-0.211323610631291,-0.5455777574512,0.214346311300259,0.305737375924407,0.134037641156892,-0.421605519531916,0.293006829455615,-0.0913839273403933,0.136177271710612,0.300667370685121,0.093129334794478,0.0501562127248627,0.0770250565465824,-0.0889635614204961,0.120588569234322,0.0476499202032997,0.0746532256109773,-0.0684616140238076,0.112791328120714,-0.490109674217693,-0.414366467780886,-0.131218944030046,0.38548248618707,0.471306739536171,-0.0424375563711702,0.463906249402003,0.348266989170357,-0.496402458889986,0.0746673210361577,0.442463753422398,0.503512713253651,0.527534645545737
-0.655261454865585,0.526851133874764,-0.569248080409979,0.541668172799055,-0.186421293408193,0.0858205895099338,-0.305873916313454,0.186579485893856,0.236756820836321,-0.322444287677116,-0.534112441042205,-0.148469283644568,-0.303736180020717,0.463228798028618,-0.371159799674675,0.366921057285503,0.405492038875706,0.279138123902177,0.258604058504953,0.168846677781313,0.368543890536031,0.350387158459955,-0.194210944374124,0.407918758247289,0.193205108023702,0.291327592539689,0.300562030305327,-0.231201815909811,0.261167656425759,0.125727539054903,0.219204930696119,0.24505298670911,0.0781029728138245,0.19908776962199,-0.136405260385997,0.291102358774576,0.318704113114139,0.303509612617056,-0.302855391451406,-0.0519083087601215,-0.47358729640491,-0.208837790513504,-0.318708780565975,-0.280433344263405,-0.334861664506674,-0.155014277162491,-0.324097729529717,-0.12423959748369,0.125835668355766,-0.132812341987308,-0.400574718902713,0.101123066702554,-0.215034173526524,-0.136914254242325,0.108875704201796,-0.167724881718991,-0.0521349183676246,-0.0784869879878654,-0.0624026601213068,-0.0938481779684898,-0.070282550436001,-0.0925822494038631,-0.0796683787990975,-0.0976543202678778,-0.411608879767881,-0.311588085423942,-0.32090414584803,-0.28348268336433,0.515575546628887,0.0819738302209836,0.54561909814736,0.139206472288136,-0.272931579823539,-0.0650000661277385,0.287539277973873,0.318458575529138,0.306031914459454
-0.544689305378502,0.292832280054608,0.144654497454953,0.590529080437947,-0.173206035784354,0.0531982605079245,-0.309411700886924,-0.2925045431121,-0.274456860777347,0.184152901715081,-0.22015876029546,0.208796911587874,0.162164239153037,-0.16658936595333,-0.0917102895838419,-0.231641758659036,0.171074163479707,0.624679419903832,0.307858223377075,0.124156559862082,0.571348128899007,0.412899009165192,-0.475784988967266,0.685314220618948,0.198986953809433,0.415177158769337,0.405969784914156,-0.476590541285814,0.206688814740291,0.425203808117583,0.315956866747249,0.0843531602882276,0.429202491704865,0.365957398717983,-0.343978229225998,0.615658543293694,0.675139873046663,0.64400530299192,-0.690822663414422,-0.440283213992954,-0.84180522028443,-0.52307403690544,-0.332841757080508,0.143114358665342,-0.77103524149362,-0.564459186313948,-0.782456806531232,-0.345484010957715,0.339788966013081,0.201895493904454,-0.371304733849157,0.342377130063235,0.0534641951539629,0.183880882931266,0.343042416697428,0.134329393485378,-0.115023461444574,-0.0935632464491398,-0.104721220175938,-0.106032167945971,-0.0944470060665239,-0.0774385888777383,-0.0728240527272234,-0.0599650112560689,-0.545996184689938,-0.50906859421194,-0.22309935175893,0.274543202509787,0.525096964929887,0.0573498964803312,0.517630891354073,0.324812172828121,-0.388876021453232,-0.215966820968106,0.553626596975,0.621161409314058,0.52915231404884
-0.709935958093556,0.425920500185747,-0.574878563367843,0.361021119109535,0.126479611028946,0.14078915703468,-0.463947046852694,0.291855159216918,0.348943343590319,-0.357881874107771,-0.429545725360455,-0.184909614697162,-0.371037450847077,0.447148721615136,-0.291599085048867,0.49858388181336,0.294412629877033,0.254469832276657,0.238396776265731,0.301046041929153,0.299464422017391,0.37076876698078,-0.0943208416870424,0.238119069815257,0.280599110749741,0.261222754152444,0.312642961114577,-0.171213852304083,-0.219666509599441,-0.232859686298189,-0.232077877128284,0.160874390480396,0.129567687925963,0.133459968551475,-0.23754337022577,0.261158826942955,0.293568990603242,0.275882468570096,-0.218249377609362,0.201859066742006,-0.271098198368695,0.110110724040364,0.402329814839373,0.438058737592525,-0.274332017542622,-0.0701153292940922,-0.251108291803056,-0.163492375017815,-0.0542448593401859,-0.206524121105415,-0.232889077620366,-0.0671845652764806,-0.289406709121844,-0.21815673616186,-0.0587918144462345,-0.259940850551945,0.0984392559830467,-0.10925231483104,0.0807421010698573,-0.131187076665709,0.085567323440833,-0.119736168840727,0.0646683068497503,-0.115328235214404,-0.194114266088163,-0.182635320945512,-0.177582529012783,-0.231162777657062,0.247673954032818,-0.0820362569246334,0.314500433410202,0.108335260898923,-0.338256262232668,-0.112574842414127,0.253235893756243,0.280402148593111,0.23371207076619
-0.672299506107943,0.500736246441476,-0.541338627974409,0.477645235825805,-0.126883286730781,0.0981564811325635,-0.294368110554132,0.358518978269383,0.41240884002394,-0.433353283236909,-0.556405132930746,-0.306348397093858,-0.416757074563028,0.61994821469474,-0.504818904486406,0.525193139344271,0.478308332620837,0.192991679774956,0.230244136942275,0.219179222508949,0.304491138001859,0.350264254540574,-0.0724538212854441,0.275016070755658,0.352950738515875,0.190086903468855,0.385875257158479,-0.0715240987446338,-0.224516975093683,-0.173194198605029,-0.205593474280007,0.0992386314577257,-0.177111443961354,-0.150198496262824,0.179581220912988,0.252269461138875,0.275138189119497,0.251274023842932,-0.142913199906232,0.246282668392616,-0.268883744839678,0.160329880627799,0.357029893695451,0.395192525755464,-0.22981606493105,0.123906948220667,0.0678315721474013,-0.116128494267833,0.0813880404833817,-0.146553510700102,-0.279401072897946,-0.0562456046177418,-0.226061091991316,-0.161785739766191,0.0620746883737681,-0.184454021328858,0.058698527401562,-0.0562006728078592,-0.0889499700751446,-0.0460053220853877,0.0521802922396986,-0.0674895738003933,-0.0970620864221378,-0.0652091626001585,-0.227260434907898,-0.165168312797599,-0.225441721476124,-0.266794599381659,0.390976521391258,-0.0428295929903005,0.429201169972123,0.151548123072961,-0.313424304298047,-0.111710612822503,0.293127462032559,0.307649257473033,0.303060568540585
-0.273043598807791,-0.0435134976619693,0.0215280110476616,0.118507499293525,-0.0649529994508161,0.0155765631748165,-0.100604102350827,-0.176951335903301,-0.184793469509627,0.143484172305133,0.130803888009128,0.144786218148664,0.143269830606075,-0.23082148322323,0.157499560119647,-0.205579282435178,-0.114895681707909,0.0811088547379656,0.048574038051497,0.167577304951599,-0.145495633155406,0.0880682628066171,0.118184609367249,0.067220116128413,-0.103535571657842,0.248852845359396,0.126857228167272,-0.222578392010706,0.141542059378214,0.118457974828454,0.142882390635583,-0.240850755261236,-0.184922501079706,-0.238559111921557,0.260281203512645,0.0612809598847008,0.20502934932077,0.0915672582899859,-0.106581419850357,0.0524439258117723,0.184392511903429,0.23035227751385,-0.236933338046252,-0.146502992352781,-0.128144732971351,0.111887682293493,0.130229111015137,-0.157846132518622,0.159820677246409,0.133870359010378,-0.0413997596411492,0.150957159569543,0.161189799115644,0.177671141658932,0.147352346919462,0.152539217944362,0.0767044697175701,0.0240478589823568,0.0672702358291877,0.0462455545424977,0.0845114128956923,0.0341347153574228,0.0827742853943727,0.0423948685957419,-0.146423106248434,-0.0593886462882097,-0.133677772979083,-0.131266695458835,0.0473428560764805,-0.0841755042628405,0.0824490405276431,0.125958272683163,-0.170281646298496,-0.133431932757777,0.170172819541091,0.21118948979211,0.195729161668026
-0.477614802823219,-0.418108608342828,-0.561014557759298,-0.17663575011729,0.140007802175329,0.0732971408636355,-0.290874032676335,-0.22733889109435,-0.158035639099553,0.144601118082658,0.441635775895403,0.394264885570959,0.213759325232132,-0.263071822976547,0.51938806198433,0.330729056572645,-0.493448406826732,0.473835926414566,0.411744700434904,0.272060300325617,0.593973218763698,0.550323483815894,-0.214178753257378,0.286994598626198,0.352988628415385,0.217365511291672,0.409549243927966,-0.228262091223584,-0.127912864354467,-0.15547062591335,-0.138188618357069,-0.195309758390346,0.0908255698251727,0.130279830001942,-0.259054218244373,0.37056052334142,0.50163682536579,0.397066303532306,-0.419388483518997,-0.104981733961113,-0.237129418153634,0.201776283792957,0.214818515056534,0.462174305983331,-0.323727235123197,0.0955480947276881,0.0796169028801025,0.107991730381568,-0.0791730976833583,-0.0860931175862694,-0.135383373137618,-0.0524814770579292,-0.116453588080757,0.09227438717618,-0.0702400754060244,-0.0904407692410562,-0.0295839928233735,0.0447243374595498,-0.0400268779784461,-0.0742987064543238,-0.0489808193658929,-0.0374899680179553,-0.053510549262832,-0.0880490952741846,0.155809785027729,0.139380878483697,0.256002777161967,0.269425955809441,-0.200870269071936,0.0541979655913756,-0.224234518954646,0.172043465334454,-0.241109287548645,-0.248293803596427,0.288999272632993,0.399265151944787,0.415877254940375
-0.641195080652348,0.440688589846419,0.223543653269168,0.739831565814099,-0.234846864509996,0.0861673053500878,-0.590730178534296,-0.485665270475002,-0.52451504619315,0.337465466535959,-0.205226806879957,0.332656031845052,0.321838517066215,-0.377112853875174,0.0686852033389775,-0.487269405578825,0.072230638980483,0.785790727144862,0.233455526375691,0.417917154375277,0.641935097521902,0.716305210171974,-0.323288801077744,0.649184564655557,0.508905920446781,0.295670320529959,0.597439325075008,-0.185968273772391,0.218340507503151,0.275611276639839,0.235035315940926,0.59703532067849,0.462687520423016,0.686850548079494,-0.127349018209904,0.722807235096469,0.652589835667911,0.708000529993919,-0.774689732726785,-0.32008590675626,-0.774261058135044,-0.301506104625256,-0.164868028116857,0.313139214981785,-0.770476960552824,-0.373001928952378,-0.423677331194486,0.465539316163147,0.428359091264273,0.241667884067228,-0.518156538460232,0.41213737034684,0.0669745840736828,0.200506721749795,0.422250571612031,0.158520841331372,-0.105645664379289,-0.0434542375902326,-0.131279149214271,-0.125528027805008,-0.11992840804444,0.0585301369456079,-0.0959213379675014,-0.0835501886344057,-0.553823188664112,-0.494776163740605,0.118746101060512,0.508236045509907,0.71512639990494,0.119083266494371,0.708277634197784,0.497942845260375,-0.562331191840811,-0.268070559614839,0.728450923307341,0.721963283129846,0.774400677301488
